Name,Review Date,Airline,Verified,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended
S Dennis,10/21/2022,Qatar Airways,TRUE,Solo Leisure,22-Oct,Mumbai to Budapest via Doha,Economy Class,4,4,4,4,3,5,no
W Simpson,10/21/2022,Qatar Airways,TRUE,Couple Leisure,22-Oct,Doha to Bangkok,Business Class,2,5,4,5,3,7,yes
W Simpson,10/21/2022,Qatar Airways,TRUE,Couple Leisure,22-Oct,Madrid to Doha,Business Class,5,5,2,1,4,7,yes
M Karsen,10/20/2022,Qatar Airways,TRUE,Solo Leisure,22-Oct,Doha to Denpasar,Business Class,4,5,5,4,4,8,yes
N Karsen,10/20/2022,Qatar Airways,TRUE,Solo Leisure,22-Oct,Stockholm to Doha,Business Class,4,4,5,5,5,8,yes
Michael Schade,10/18/2022,Qatar Airways,TRUE,Solo Leisure,22-Oct,Bangkok to Frankfurt via Doha,Business Class,5,4,3,3,1,5,yes
C Heldsinger,10/17/2022,Qatar Airways,FALSE,Couple Leisure,22-Sep,Johannesburg to Rome via Doha,Economy Class,5,4,5,5,5,9,yes
S Warten,10/17/2022,Qatar Airways,TRUE,Solo Leisure,22-Oct,Sydney to Edinburgh via Doha,Business Class,4,3,2,5,5,10,yes
Martin Halshaw,10/16/2022,Qatar Airways,TRUE,Solo Leisure,22-Oct,Manila to Manchester via Doha,Business Class,4,4,3,5,5,10,yes
John Squire,10/16/2022,Qatar Airways,TRUE,Couple Leisure,21-Nov,Dublin to Bangkok via Doha,Business Class,5,5,1,5,1,1,no
W Simpson,10/15/2022,Qatar Airways,TRUE,Couple Leisure,22-Oct,Bangkok to Doha,Business Class,3,5,5,4,3,5,yes
W Simpson,10/15/2022,Qatar Airways,TRUE,Couple Leisure,22-Oct,Doha to Madrid,Business Class,4,4,3,5,4,7,yes
Ayush Jha,10/15/2022,Qatar Airways,TRUE,Family Leisure,22-Oct,Mumbai to Atlanta via Doha,Economy Class,3,5,3,5,4,8,yes
T Smith,10/15/2022,Qatar Airways,TRUE,Solo Leisure,22-Sep,Los Angeles to Cairo via Doha,Economy Class,5,3,3,1,3,1,no
K Katona,10/12/2022,Qatar Airways,TRUE,Couple Leisure,22-Sep,Colombo to Helsinki via Doha,Economy Class,5,3,5,5,2,4,no
R Martin,10/11/2022,Qatar Airways,TRUE,Business,22-Oct,Doha to Montreal,Business Class,4,1,3,5,4,10,yes
S Bardes,10/9/2022,Qatar Airways,TRUE,Business,22-Oct,Doha to Miami,Business Class,5,5,2,4,5,10,yes
Navya Surendran,10/9/2022,Qatar Airways,TRUE,Family Leisure,22-Oct,Doha to Melbourne,Economy Class,3,5,5,5,3,3,no
Affan Butt,10/8/2022,Qatar Airways,TRUE,Solo Leisure,22-Oct,Islamabad to London Gatwick via Doha,Economy Class,3,4,5,5,5,10,yes
Mario Chater,10/7/2022,Qatar Airways,TRUE,Solo Leisure,22-Sep,Doha to Beirut,Economy Class,3,4,1,5,3,6,no
I Marin,10/5/2022,Qatar Airways,TRUE,Couple Leisure,22-Sep,New York to Kilimanjaro via Doha,Economy Class,5,5,3,3,1,1,no
J Sajuza,10/4/2022,Qatar Airways,TRUE,Solo Leisure,22-Aug,Montreal to Goa via Doha,Economy Class,4,3,3,5,2,2,no
E Sinclair,10/4/2022,Qatar Airways,FALSE,Solo Leisure,22-Sep,Edinburgh to Brisbane via Doha / Perth,Business Class,4,2,4,4,5,10,yes
Philippe Strub,10/3/2022,Qatar Airways,TRUE,Business,22-Oct,Doha to Jakarta,Economy Class,4,5,3,5,3,9,yes
P Burtele,10/3/2022,Qatar Airways,TRUE,Business,22-Oct,Zurich to Doha,Economy Class,5,5,1,3,3,9,yes
P Burtele,10/3/2022,Qatar Airways,TRUE,Business,22-Oct,Jakarta to Doha,Economy Class,3,4,4,5,3,8,yes
Jacqueline Mafara,10/3/2022,Qatar Airways,TRUE,Solo Leisure,22-Sep,Abu Dhabi to Johannesburg via Doha,Economy Class,4,5,5,5,5,10,yes
Stefan De Beer,10/2/2022,Qatar Airways,TRUE,Couple Leisure,22-Apr,Johannesburg to Bangkok via Doha,Business Class,5,5,5,1,1,1,no
Justin OBrien,10/2/2022,Qatar Airways,TRUE,Business,22-Oct,London to Melbourne via Doha,Business Class,5,4,1,4,1,1,no
Manish Chhugani,10/1/2022,Qatar Airways,FALSE,Solo Leisure,22-Sep,Doha to Miami,Economy Class,5,4,5,5,5,10,yes
Affan Butt,9/29/2022,Qatar Airways,TRUE,Business,22-Sep,London to Islamabad via Doha,Economy Class,4,1,5,5,5,10,yes
Alwaleed Althani,9/28/2022,Qatar Airways,TRUE,Family Leisure,22-Sep,Doha to Paris,Business Class,1,1,5,5,3,6,yes
C Hoffmann,9/25/2022,Qatar Airways,TRUE,Solo Leisure,22-Aug,Singapore to Doha,Business Class,4,5,5,4,4,8,yes
D Beekel,9/25/2022,Qatar Airways,TRUE,Couple Leisure,22-Sep,Doha to Brussels,Economy Class,5,5,5,5,1,2,no
G Maston,9/23/2022,Qatar Airways,TRUE,Solo Leisure,22-May,Seattle to Doha,Economy Class,2,5,5,1,1,2,no
M Eggleton,9/21/2022,Qatar Airways,FALSE,Solo Leisure,22-Sep,Perth to London via Doha,Economy Class,3,3,3,3,4,8,yes
M Bartella,9/20/2022,Qatar Airways,TRUE,Couple Leisure,22-Aug,Nairobi to Washington via Doha,Economy Class,5,5,3,4,1,1,no
M Bewlen,9/20/2022,Qatar Airways,TRUE,Couple Leisure,22-Sep,Doha to Sydney,Economy Class,5,5,2,2,2,2,no
Anders Pedersen,9/15/2022,Qatar Airways,TRUE,Solo Leisure,22-Sep,Bangkok to Doha,Economy Class,5,5,5,4,4,8,yes
J Lim,9/11/2022,Qatar Airways,TRUE,Couple Leisure,22-Aug,Singapore to Kilimanjaro via Doha,Business Class,5,5,5,5,5,9,yes
Ravindra Pendurthi,9/9/2022,Qatar Airways,TRUE,Business,22-Sep,Hyderabad to Atlanta via Doha,Business Class,5,5,3,4,5,10,yes
Alwaleed Althani,9/8/2022,Qatar Airways,TRUE,Couple Leisure,22-Sep,Paris to Doha,Business Class,5,5,4,5,3,6,yes
Elena Gheorghe,9/7/2022,Qatar Airways,FALSE,Couple Leisure,22-Aug,New York to Bucharest via Doha,Economy Class,5,4,5,4,5,10,yes
I Musa,9/7/2022,Qatar Airways,TRUE,Solo Leisure,22-Aug,"Lagos, Nigeria to London Heathrow via Doha, Qatar",Economy Class,5,2,4,5,5,10,yes
Muhammad Tahir Hanif,9/5/2022,Qatar Airways,TRUE,Solo Leisure,22-Jul,Maputo to Lahore via Doha,Economy Class,5,1,3,1,5,10,yes
Karim Arif,9/5/2022,Qatar Airways,TRUE,Family Leisure,22-Jul,Tunis to Entebbe via Doha,Economy Class,5,5,5,3,5,10,yes
D Paracin,9/5/2022,Qatar Airways,TRUE,Business,22-Sep,Doha to New York,Business Class,5,5,2,5,4,10,yes
Waseem Al-Khawga,9/4/2022,Qatar Airways,TRUE,Family Leisure,22-Sep,Doha to Kuala Lumpur,Economy Class,4,2,5,4,5,10,yes
C Allen,9/1/2022,Qatar Airways,TRUE,Solo Leisure,22-Aug,Vienna to Jakarta via Doha,Economy Class,3,5,2,5,4,8,yes
Alwaleed Althani,8/31/2022,Qatar Airways,TRUE,Couple Leisure,22-Aug,Doha to London Heathrow,Business Class,5,5,4,3,3,7,yes
S Harten,8/30/2022,Qatar Airways,TRUE,Business,22-Aug,London to Muscat via Doha,Economy Class,5,5,5,2,1,1,no
Shahid Qureshi,8/30/2022,Qatar Airways,TRUE,Business,22-Aug,Islamabad to Manchester via Doha,Business Class,3,4,1,5,4,10,yes
E Sola,8/30/2022,Qatar Airways,TRUE,Business,22-Aug,Milan to Doha,Business Class,4,5,1,4,5,10,yes
C Rollings,8/30/2022,Qatar Airways,TRUE,Family Leisure,22-Aug,Nairobi to San Diego via Doha,Economy Class,5,3,2,3,3,7,yes
C Hoffmann,8/28/2022,Qatar Airways,TRUE,Solo Leisure,22-Aug,Doha to Singapore,Business Class,4,5,3,4,3,8,yes
Timothy Patrick,8/27/2022,Qatar Airways,FALSE,Solo Leisure,22-Aug,Madrid  to Hong Kong via Doha,Business Class,2,2,1,3,4,8,yes
Suhail Shafi,8/27/2022,Qatar Airways,TRUE,Couple Leisure,22-Aug,Philadelphia to Nagpur via Doha,Economy Class,5,1,1,4,5,9,yes
Stavros Mouslopoulos,8/26/2022,Qatar Airways,TRUE,Solo Leisure,22-Aug,Singapore to Athens via Doha,Economy Class,2,5,5,3,2,5,no
M Mikhail,8/24/2022,Qatar Airways,FALSE,Family Leisure,22-Aug,Cairo to Dallas via Doha,Economy Class,5,4,4,5,5,10,yes
G Gharzeddine,8/23/2022,Qatar Airways,FALSE,Solo Leisure,22-Aug,Beirut to Doha,Economy Class,3,4,5,5,1,3,yes
Luwam Hagos,8/22/2022,Qatar Airways,TRUE,Family Leisure,22-Aug,Entebbe to London via Doha,Economy Class,5,4,5,5,1,3,no
P Latiff,8/19/2022,Qatar Airways,TRUE,Solo Leisure,22-Aug,Male to Manchester via Doha,Business Class,4,3,3,4,3,3,no
R Mardunu,8/18/2022,Qatar Airways,TRUE,Family Leisure,22-Aug,Entebbe to Madrid via Doha,Economy Class,2,2,3,5,3,6,yes
Manish Shah,8/15/2022,Qatar Airways,TRUE,Family Leisure,22-Aug,Mumbai to Los Angeles via Doha,Economy Class,3,3,3,5,4,9,yes
Alwaleed Althani,8/15/2022,Qatar Airways,TRUE,Family Leisure,22-Aug,Singapore to Doha,Business Class,1,5,5,4,1,2,no
H Fryer,8/13/2022,Qatar Airways,FALSE,Couple Leisure,22-Jul,Manchester to Auckland via Doha,Economy Class,2,5,3,2,1,1,no
Peter Sutherland,8/13/2022,Qatar Airways,TRUE,Solo Leisure,22-May,London to Bangkok via Doha,Business Class,1,5,3,4,3,1,no
T Ketcher,8/5/2022,Qatar Airways,TRUE,Solo Leisure,22-Aug,Nairobi to New York via Doha,Economy Class,4,5,5,5,1,1,no
C Mirton,8/4/2022,Qatar Airways,TRUE,Solo Leisure,22-Jul,Doha to Entebbe,Economy Class,5,5,4,4,1,1,no
Craig Bodley,7/31/2022,Qatar Airways,TRUE,Solo Leisure,22-Jul,Warsaw to Doha,Economy Class,4,4,5,5,1,1,no
G Cooper,7/31/2022,Qatar Airways,TRUE,Couple Leisure,22-Jul,Athens to Doha,Business Class,5,4,3,4,1,4,yes
S Barker,7/30/2022,Qatar Airways,TRUE,Solo Leisure,22-Jul,New York JFK to Delhi via Doha,Economy Class,5,5,5,3,5,10,yes
E Beeren,7/27/2022,Qatar Airways,TRUE,Solo Leisure,22-Jul,Lagos to Montreal via Doha,Economy Class,3,2,1,5,5,9,yes
S Suleman,7/24/2022,Qatar Airways,TRUE,Couple Leisure,22-Jul,London to Durban via Doha,Business Class,3,1,3,3,5,10,yes
E Warden,7/24/2022,Qatar Airways,TRUE,Family Leisure,22-Jul,London to Doha,Economy Class,4,3,5,5,5,10,yes
S Han,7/23/2022,Qatar Airways,TRUE,Solo Leisure,22-Jun,London to Sydney via Doha,Economy Class,5,5,5,5,1,1,no
Y Chen,7/23/2022,Qatar Airways,TRUE,Solo Leisure,22-Jul,Rome to Hong Kong via Doha,Economy Class,2,5,5,5,4,6,no
Zoia Bila,7/23/2022,Qatar Airways,TRUE,Solo Leisure,22-Jul,Istanbul to Goa via Doha,Economy Class,1,5,3,5,3,9,no
Colin Ip,7/21/2022,Qatar Airways,TRUE,Solo Leisure,22-Jul,Singapore to Edinburgh via Doha,Economy Class,3,4,2,4,5,9,yes
Mohd Barkoorie,7/20/2022,Qatar Airways,TRUE,Solo Leisure,21-Nov,Paris to Tehran via Doha,Economy Class,5,5,5,5,2,3,no
S Mirton,7/16/2022,Qatar Airways,TRUE,Business,22-Jul,Doha to Phuket,Economy Class,4,3,5,5,1,1,no
R Huang,7/15/2022,Qatar Airways,TRUE,Business,22-Jun,Bangkok to Istanbul via Doha,Economy Class,5,1,3,4,2,2,no
S Kavenan,7/15/2022,Qatar Airways,TRUE,Solo Leisure,22-Jul,San Francisco to Chennai via Doha,Economy Class,4,5,2,5,5,9,yes
T Gan,7/14/2022,Qatar Airways,TRUE,Family Leisure,22-Jun,Singapore to Istanbul via Doha,Economy Class,5,5,2,4,4,4,no
E Hessler,7/14/2022,Qatar Airways,TRUE,Business,22-Oct,Dubai to Montreal via Doha,Business Class,3,5,2,4,3,2,no
M Dawson,7/13/2022,Qatar Airways,TRUE,Solo Leisure,22-Jul,Melbourne to London via Doha,Business Class,3,4,4,5,5,10,yes
E Maschen,7/12/2022,Qatar Airways,TRUE,Business,22-Jul,Bangkok to Warsaw via Doha,Business Class,3,1,1,4,1,6,yes
Clayton Qualters,7/10/2022,Qatar Airways,TRUE,Business,22-Jun,Doha to London,Economy Class,4,4,3,3,4,10,yes
Alwaleed Althani,7/10/2022,Qatar Airways,TRUE,Family Leisure,22-Jul,Doha to Singapore,Business Class,4,3,4,3,1,5,no
P Larumo,7/9/2022,Qatar Airways,TRUE,Business,22-Jul,Manila to London via Doha,Business Class,2,2,4,5,4,6,yes
Cinthya Daniel,7/9/2022,Qatar Airways,TRUE,Family Leisure,22-Jul,Chennai to Washington via Doha,Economy Class,1,2,2,5,4,9,yes
Richie Rizal,7/7/2022,Qatar Airways,FALSE,Solo Leisure,22-Jul,Jakarta to Doha,Economy Class,5,3,5,5,3,9,yes
Richard Munyambu,7/7/2022,Qatar Airways,TRUE,Solo Leisure,22-Jul,Nairobi to Doha,Economy Class,4,2,1,5,5,10,yes
Vanessa Savic,7/7/2022,Qatar Airways,FALSE,Business,22-Jul,Frankfurt to Brisbane via Doha,First Class,5,4,4,5,2,1,no
Marcelo Rodriguez,7/7/2022,Qatar Airways,TRUE,Family Leisure,22-Jun,Chicago to Doha,Economy Class,3,1,2,5,1,1,no
E Mavilas,7/6/2022,Qatar Airways,TRUE,Couple Leisure,22-Jun,Dublin to Bangkok via Doha,Economy Class,3,5,2,5,4,10,yes
Jessica Byrne,7/6/2022,Qatar Airways,TRUE,Couple Leisure,22-Jul,Philadelphia to Male via Doha,Business Class,1,5,4,5,2,3,no
M Bruns,7/5/2022,Qatar Airways,TRUE,Family Leisure,22-Jul,Amsterdam to Perth via Doha,Economy Class,1,5,5,4,1,1,no
N Hadar,7/5/2022,Qatar Airways,TRUE,Family Leisure,22-Jul,Kuala Lumpur to Washington via Doha,Business Class,3,2,4,4,3,1,no
C Calvi,7/4/2022,Qatar Airways,TRUE,Couple Leisure,22-Jul,Los Angeles to Nairobi via Doha,Economy Class,3,5,2,3,1,1,no
Mark Hardcastle,7/4/2022,Qatar Airways,TRUE,Couple Leisure,22-Jun,Auckland to Budapest via Doha,Economy Class,5,5,1,5,2,2,no
Bruce Henderson,7/2/2022,Qatar Airways,TRUE,Family Leisure,22-Jun,Doha to Durban,Economy Class,5,2,4,5,1,1,no
Alexandra Gelletich,7/1/2022,Qatar Airways,TRUE,Couple Leisure,22-Jul,Bodrum  to Johannesburg via Doha,Economy Class,5,5,5,4,1,1,no
Shokufeh Farazmand,7/1/2022,Qatar Airways,TRUE,Solo Leisure,22-Jun,Malaga to Tehran via Doha,Economy Class,3,4,4,5,3,3,no
R Zaeler,6/26/2022,Qatar Airways,TRUE,Couple Leisure,22-Jun,Sydney to Vienna via Doha,Economy Class,5,5,5,5,2,2,no
J Meesen,6/25/2022,Qatar Airways,TRUE,Solo Leisure,22-Jun,Doha to London,Business Class,5,5,4,5,4,9,yes
J Meesen,6/25/2022,Qatar Airways,TRUE,Solo Leisure,22-Jun,Bangkok to Doha,Business Class,3,5,2,5,4,9,yes
Anders Pedersen,6/24/2022,Qatar Airways,TRUE,Business,22-Jun,Copenhagen to Ho Chi Minh City via Doha,Economy Class,4,2,4,4,5,10,yes
Magdalena Michalak-Matkowska,6/20/2022,Qatar Airways,TRUE,Couple Leisure,22-Mar,Warsaw to Brisbane via Doha,Economy Class,1,5,4,3,1,1,no
Sabrina Abdul,6/19/2022,Qatar Airways,TRUE,Business,22-Jun,Brussels to Kuala Lumpur via Doha,Business Class,4,5,5,4,5,10,yes
Shadi Alkasim,6/18/2022,Qatar Airways,TRUE,Solo Leisure,22-May,Chengdu to Amman via Doha & Hong Kong,Economy Class,5,5,5,4,5,9,yes
S Leiner,6/17/2022,Qatar Airways,TRUE,Solo Leisure,22-Jun,Brisbane to Brussels via Doha,Economy Class,5,5,5,3,2,2,no
S Ramos,6/17/2022,Qatar Airways,TRUE,Couple Leisure,22-Jun,Cebu to Zurich via Doha,Business Class,5,5,5,4,4,8,yes
S Barsain,6/17/2022,Qatar Airways,TRUE,Solo Leisure,22-Jun,Doha to Atlanta,Business Class,4,5,4,5,3,6,no
M Bahirsan,6/17/2022,Qatar Airways,TRUE,Solo Leisure,22-Jun,Doha to Beirut,First Class,3,1,1,3,5,10,yes
Nico Brandts,6/14/2022,Qatar Airways,TRUE,Solo Leisure,22-Jun,Amsterdam to Phuket via Doha,Business Class,5,5,3,5,5,9,yes
Michael Schade,6/10/2022,Qatar Airways,TRUE,Solo Leisure,22-May,Frankfurt to Bangkok via Doha,Economy Class,3,5,2,5,4,8,yes
Rene de Bruin-Christiaan,6/10/2022,Qatar Airways,TRUE,Couple Leisure,22-Jun,Amsterdam to Bangkok via Doha,Business Class,5,5,5,4,2,4,no
A Walden,6/9/2022,Qatar Airways,TRUE,Solo Leisure,22-Jun,Ho Chi Minh to Manchester via Doha,Business Class,5,5,4,5,3,5,no
Francis Harrigan,6/9/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,Doha to Phuket,Business Class,5,5,3,4,3,8,yes
A Pearce,6/6/2022,Qatar Airways,TRUE,Solo Leisure,22-Jun,Johannesburg to Washington DC via Doha,Economy Class,2,4,4,5,5,10,yes
I Vardina,6/3/2022,Qatar Airways,TRUE,Family Leisure,22-May,Toronto to Kozhikode via Montreal / Doha,Economy Class,5,5,1,5,5,10,yes
Eric Thomas,6/2/2022,Qatar Airways,TRUE,Solo Leisure,22-May,Doha to London,Business Class,5,3,5,3,5,10,yes
D Varden,5/31/2022,Qatar Airways,TRUE,Solo Leisure,22-May,Doha to Ahmedabad,Business Class,5,4,5,5,4,10,yes
Nazrul Islam,5/31/2022,Qatar Airways,FALSE,Family Leisure,22-May,Doha to Chicago,Economy Class,5,5,5,4,5,9,yes
Y Genuwari,5/26/2022,Qatar Airways,TRUE,Business,22-May,Brisbane to Milan via Doha,Business Class,5,5,5,5,3,5,no
Jan-Erik Karlsson,5/26/2022,Qatar Airways,FALSE,Solo Leisure,22-Apr,Bangkok to Stockholm via Doha,Business Class,5,3,5,5,4,10,yes
Peter Marley,5/26/2022,Qatar Airways,FALSE,Solo Leisure,22-May,Melbourne to Dublin via Doha,Economy Class,3,5,4,5,5,10,yes
Reino Retief,5/26/2022,Qatar Airways,TRUE,Solo Leisure,22-May,Doha to Johannesburg,Economy Class,4,1,4,5,5,10,yes
Angela Medcalf,5/26/2022,Qatar Airways,TRUE,Solo Leisure,22-May,Johannesburg to Doha,Economy Class,3,5,5,5,5,8,yes
Jerome Belvisi,5/19/2022,Qatar Airways,FALSE,Business,22-May,Cape Town to Montreal via Doha,Business Class,5,5,4,5,5,10,yes
L Ganapalous,5/19/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,Montreal to Phuket via Doha,Business Class,4,5,4,5,4,8,yes
P Sutherland,5/17/2022,Qatar Airways,TRUE,Solo Leisure,22-May,London to Bangkok via Doha,Business Class,4,5,1,5,3,5,no
Jasmin Aranal,5/17/2022,Qatar Airways,TRUE,Business,22-May,Belgrade to Doha via Manila,Economy Class,5,5,5,4,5,6,yes
S Morris,5/16/2022,Qatar Airways,TRUE,Solo Leisure,22-May,Bangkok to Frankfurt via Doha,Economy Class,1,5,3,5,2,4,no
Ashok Chhetri,5/15/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,New York to Kathmandu via Doha,Economy Class,5,5,4,5,5,10,yes
Rajat Ghosal,5/14/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,Doha to Montreal,Economy Class,5,5,5,5,5,9,yes
Dewi Halim,5/14/2022,Qatar Airways,TRUE,Couple Leisure,22-May,London to Jakarta via Doha,Economy Class,5,2,5,5,3,7,yes
M Sahar,5/9/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,Dammam to Boston via Doha,Economy Class,5,5,5,3,5,9,yes
S Mekr,5/9/2022,Qatar Airways,TRUE,Solo Leisure,22-Feb,Sydney to Doha,Economy Class,5,3,5,4,2,3,no
Mohanad Daoudi,5/8/2022,Qatar Airways,TRUE,Family Leisure,22-May,Amsterdam to Bangkok via Doha,Business Class,4,3,5,5,5,10,yes
K Narishmar,5/3/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,Thiruvananthapuram to Doha,Economy Class,4,1,5,4,5,10,yes
Marcin Piekarski,5/3/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,Warsaw to Phuket via Doha,Economy Class,5,3,4,5,5,10,yes
M Rahani,5/2/2022,Qatar Airways,TRUE,Couple Leisure,22-Apr,Toronto to Tehran via Doha,Economy Class,1,5,4,5,5,10,yes
Sridhar Srinivasan,4/29/2022,Qatar Airways,TRUE,Business,22-Apr,Miami to Delhi via Doha,Economy Class,4,5,3,4,5,10,yes
Vinod Kamalam Surendran,4/28/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,Doha to New York,Economy Class,4,5,4,4,5,10,yes
Nor Yusri Mohd Yusof,4/26/2022,Qatar Airways,TRUE,Business,22-Apr,Doha to Kuala Lumpur,Economy Class,3,1,2,3,5,10,yes
Naeem Alzidi,4/21/2022,Qatar Airways,TRUE,Family Leisure,22-Apr,Doha to San Francisco,Economy Class,4,5,5,4,5,10,yes
Jane Smith,4/21/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,Johannesburg to Gatwick via Doha,Economy Class,3,5,5,3,2,1,no
M Neele,4/20/2022,Qatar Airways,TRUE,Family Leisure,22-Apr,Adelaide to Doha,Business Class,4,5,5,3,2,8,yes
N Belgrove,4/20/2022,Qatar Airways,TRUE,Family Leisure,22-Apr,London to Doha,Economy Class,5,5,5,4,3,2,no
S Heale,4/16/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,Warsaw to Bangkok via Doha,Business Class,4,3,5,4,3,3,no
F Bardan,4/14/2022,Qatar Airways,TRUE,Business,22-Apr,Johannesburg to Doha,Business Class,1,5,2,5,3,4,no
A Mabour,4/13/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,Cairo to Chicago via Doha,Economy Class,5,5,4,5,1,1,no
B Galdos,4/13/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,New York to Doha,Economy Class,4,3,5,5,4,9,yes
Runar Jensen,4/12/2022,Qatar Airways,TRUE,Solo Leisure,22-Mar,Oslo to Phuket via Doha,Business Class,5,3,5,5,5,10,yes
Catherine Jaskot,4/12/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,Barcelona to Kuala Lumpur via Doha,Economy Class,5,3,5,5,4,9,yes
C Horton,4/12/2022,Qatar Airways,TRUE,Family Leisure,22-Mar,Seattle to Dubai via Doha,Economy Class,3,3,5,5,1,1,no
Andrew Morgan,4/11/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,Sydney to Doha,Business Class,4,5,5,4,5,10,yes
Andrew Morgan,4/11/2022,Qatar Airways,TRUE,Solo Leisure,22-Mar,Paris to Doha,Business Class,4,5,4,5,5,10,yes
Andrew Morgan,4/11/2022,Qatar Airways,TRUE,Solo Leisure,22-Mar,Doha to Melbourne,Business Class,3,5,5,1,5,10,yes
Kashif Imran,4/11/2022,Qatar Airways,TRUE,Solo Leisure,22-Mar,Frankfurt to Lahore via Doha,Economy Class,4,5,4,4,5,10,yes
Nigel Merritt,4/9/2022,Qatar Airways,TRUE,Business,22-Jan,Hong Kong to London via Doha,Business Class,4,4,4,4,4,5,no
Alwaleed Althani,4/9/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,London to Doha,First Class,4,5,4,5,3,9,yes
Alwaleed Althani,4/8/2022,Qatar Airways,TRUE,Solo Leisure,22-Apr,Doha to London,First Class,4,5,5,5,3,8,yes
T Roberts,4/6/2022,Qatar Airways,TRUE,Solo Leisure,22-Mar,Sydney to New York via Doha,Business Class,5,5,5,4,3,7,no
Abhishek Singh,4/4/2022,Qatar Airways,FALSE,Solo Leisure,22-Apr,Doha to Kolkata,Economy Class,5,5,5,2,4,7,yes
John Duffus,4/2/2022,Qatar Airways,TRUE,Solo Leisure,22-Mar,Bangkok to Edinburgh via Doha,Business Class,3,5,5,5,3,6,yes
N Karasha,3/31/2022,Qatar Airways,TRUE,Family Leisure,22-Mar,Philadelphia to Kathmandu via Doha,Economy Class,4,2,5,5,4,5,yes
Michael Schade,3/30/2022,Qatar Airways,TRUE,Solo Leisure,22-Mar,Bangkok to Warsaw via Doha,Business Class,4,5,5,5,4,6,yes
A Hales,3/29/2022,Qatar Airways,TRUE,Couple Leisure,22-Mar,Edinburgh to Muscat via Doha,Business Class,5,5,5,4,5,10,yes
Choy Fong Ng,3/28/2022,Qatar Airways,TRUE,Couple Leisure,22-Mar,Kuala Lumpur to Washington via Doha,Economy Class,5,5,5,5,5,10,yes
Devin Barnes,3/27/2022,Qatar Airways,FALSE,Family Leisure,22-Mar,Cape Town to Helsinki via Doha,Economy Class,5,5,5,5,5,10,yes
J Cruickshank,3/24/2022,Qatar Airways,TRUE,Family Leisure,22-Mar,Washington to Beirut via Doha,First Class,5,5,1,5,3,5,no
Anders Pedersen,3/23/2022,Qatar Airways,TRUE,Business,22-Mar,Singapore to Copenhagen via Doha,Economy Class,3,5,1,5,4,8,yes
Fauaz Labadi,3/23/2022,Qatar Airways,TRUE,Family Leisure,22-Mar,Riyadh to Milan via Doha,Business Class,5,5,5,5,5,9,yes
Marco Garcia,3/18/2022,Qatar Airways,FALSE,Couple Leisure,22-Mar,Milan to Brisbane via Doha,Economy Class,4,5,5,5,5,9,yes
Theodore Holdeman,3/16/2022,Qatar Airways,TRUE,Solo Leisure,22-Mar,Johannesburg to Chicago O'Hare via Doha,Economy Class,4,5,3,3,5,9,yes
Jegan Babulal,3/14/2022,Qatar Airways,FALSE,Family Leisure,22-Mar,Dallas Fort Worth to Bangalore via Doha,Premium Economy,4,5,1,4,5,10,yes
Iram Ahmad,3/9/2022,Qatar Airways,TRUE,Family Leisure,22-Feb,Islamabad to Brussels via Doha,Economy Class,5,5,5,5,5,10,yes
S Heale,3/8/2022,Qatar Airways,TRUE,Couple Leisure,22-Feb,London to Male via Doha,Economy Class,5,3,5,4,3,4,no
Brittany Blackburn,3/7/2022,Qatar Airways,TRUE,Solo Leisure,22-Mar,Manila to Atlanta via Doha,Business Class,5,5,5,4,5,10,yes
Ajay Prasadh Viswanathan,3/7/2022,Qatar Airways,TRUE,Solo Leisure,22-Mar,Chennai to Seattle via Doha,Economy Class,5,1,5,4,4,6,no
Anders Pedersen,3/5/2022,Qatar Airways,TRUE,Business,22-Mar,Copenhagen to Singapore via Doha,Economy Class,5,1,4,4,5,9,yes
G Berten,2/28/2022,Qatar Airways,TRUE,Solo Leisure,22-Feb,New York to Cairo via Doha,Business Class,5,5,1,5,2,2,no
M Abdelhafez Tahoun,2/28/2022,Qatar Airways,TRUE,Business,22-Jan,Cairo to Houston via Doha,Economy Class,4,5,3,4,5,10,yes
Athul Kiliyara Murikkincheri,2/27/2022,Qatar Airways,TRUE,Solo Leisure,22-Feb,Kozikhode to Paris via Doha,Economy Class,4,3,5,5,5,10,yes
